ucsc,ncbi,date,organism,ensembldb,ensemblRelease,ensemblUrl
araTha1,TAIR10,2011-02,Arabidopsis thaliana,FALSE,#N/A,https://plants.ensembl.org/Arabidopsis_thaliana/Info/Annotation
ce10,WS220,2010-10,Caenorhabditis elegans,FALSE,#N/A,
dm3,BDGP5,2006-04,Drosophila melanogaster,FALSE,#N/A,
galGal4,Galgal4,2011-11,Gallus gallus,FALSE,#N/A,
galGal6,GRCg6a,2018-03,Gallus gallus,FALSE,#N/A,
mm9,GRCm37,2007-07,Mus musculus,FALSE,#N/A,
rn5,Rnor_5.0,2012-03,Rattus norvegicus,FALSE,#N/A,
xenTro2,JGI_4.1,2005-08,Xenopus tropicalis,FALSE,#N/A,
canFam3,CanFam3.1,2011-09,Canis familiaris,TRUE,,
ce11,WBcel235,2013-02,Caenorhabditis elegans,TRUE,,
danRer10,GRCz10,2014-09,Danio rerio,TRUE,,
danRer11,GRCz11,2017-05,Danio rerio,TRUE,,
dm6,BDGP6,2014-08,Drosophila melanogaster,TRUE,95,https://jan2019.archive.ensembl.org/Drosophila_melanogaster/Info/Annotation
galGal5,Gallus_gallus-5.0,2015-12,Gallus gallus,TRUE,,
hg19,GRCh37,2009-02,Homo sapiens,TRUE,75,http://grch37.ensembl.org/Homo_sapiens/Info/Annotation
hg38,GRCh38,2013-12,Homo sapiens,TRUE,79,https://useast.ensembl.org/Homo_sapiens/Info/Annotation
hg38-noalt,GRCh38,2013-12,Homo sapiens,TRUE,79,https://useast.ensembl.org/Homo_sapiens/Info/Annotation
mm10,GRCm38,2011-12,Mus musculus,TRUE,,
mm39,GRCm39,2020-06,Mus musculus,TRUE,,
rn6,Rnor_6.0,2014-07,Rattus norvegicus,TRUE,,
sacCer3,R64-1-1,2011-04,Saccharomyces cerevisiae,TRUE,,
susScr11,Sscrofa11.1,2017-02,Sus scrofa,TRUE,,
xenTro3,JGI_4.2,2009-11,Xenopus tropicalis,TRUE,,
